0	-18.6615
0.0005	-18.6462
0.001	-18.6462
0.0015	-18.6615
0.002	-18.692
0.0025	-18.7531
0.003	-18.8293
0.0035	-18.9209
0.004	-19.043
0.0045	-19.1956
0.005	-19.3481
0.0055	-19.5312
0.006	-19.7296
0.0065	-19.928
0.007	-20.1263
0.0075	-20.34
0.008	-20.5536
0.0085	-20.752
0.009	-20.9351
0.0095	-21.1182
0.01	-21.2708
0.0105	-21.4081
0.011	-21.5302
0.0115	-21.637
0.012	-21.7133
0.0125	-21.7743
0.013	-21.8048
0.0135	-21.8201
0.014	-21.8201
0.0145	-21.8048
0.015	-21.759
0.0155	-21.698
0.016	-21.6217
0.0165	-21.5302
0.017	-21.4233
0.0175	-21.3013
0.018	-21.1792
0.0185	-21.0419
0.019	-20.9045
0.0195	-20.7672
0.02	-20.6299
0.0205	-20.4926
0.021	-20.3552
0.0215	-20.2179
0.022	-20.0958
0.0225	-19.9738
0.023	-19.8822
0.0235	-19.7906
0.024	-19.7144
0.0245	-19.6686
0.025	-19.6381
0.0255	-19.6228
0.026	-19.6228
0.0265	-19.6381
0.027	-19.6838
0.0275	-19.7296
0.028	-19.7906
0.0285	-19.8669
0.029	-19.9432
0.0295	-20.0348
0.03	-20.1416
0.0305	-20.2637
0.031	-20.3857
0.0315	-20.5078
0.032	-20.6299
0.0325	-20.7672
0.033	-20.8893
0.0335	-20.9961
0.034	-21.1029
0.0345	-21.1945
0.035	-21.2555
0.0355	-21.3165
0.036	-21.3623
0.0365	-21.3776
0.037	-21.3776
0.0375	-21.3623
0.038	-21.3165
0.0385	-21.2555
0.039	-21.1792
0.0395	-21.0724
0.04	-20.9503
0.0405	-20.813
0.041	-20.6451
0.0415	-20.4773
0.042	-20.3094
0.0425	-20.1111
0.043	-19.928
0.0435	-19.7296
0.044	-19.5465
0.0445	-19.3634
0.045	-19.1803
0.0455	-19.0125
0.046	-18.8751
0.0465	-18.7378
0.047	-18.6157
0.0475	-18.5242
0.048	-18.4479
0.0485	-18.4021
0.049	-18.3716
0.0495	-18.3563
0.05	-18.3563
0.0505	-18.3868
0.051	-18.4326
0.0515	-18.4784
0.052	-18.5547
0.0525	-18.6462
0.053	-18.7531
0.0535	-18.8751
0.054	-19.0125
0.0545	-19.165
0.055	-19.3329
0.0555	-19.516
0.056	-19.7144
0.0565	-19.9127
0.057	-20.1111
0.0575	-20.2942
0.058	-20.4773
0.0585	-20.6604
0.059	-20.813
0.0595	-20.9351
0.06	-21.0419
0.0605	-21.1182
0.061	-21.1792
0.0615	-21.2097
0.062	-21.2097
0.0625	-21.1945
0.063	-21.1487
0.0635	-21.1029
0.064	-21.0266
0.0645	-20.9656
0.065	-20.874
0.0655	-20.7977
0.066	-20.7214
0.0665	-20.6299
0.067	-20.5536
0.0675	-20.462
0.068	-20.3857
0.0685	-20.3094
0.069	-20.2179
0.0695	-20.1416
0.07	-20.05
0.0705	-19.989
0.071	-19.9127
0.0715	-19.8517
0.072	-19.8059
0.0725	-19.7754
0.073	-19.7601
0.0735	-19.7449
0.074	-19.7449
0.0745	-19.7601
0.075	-19.7754
0.0755	-19.8059
0.076	-19.8517
0.0765	-19.8975
