0	-4.42505	-4.42504	
0.0005	-4.47083	-4.42514	
0.001	-4.53186	-4.42577	
0.0015	-4.5929	-4.42748	
0.002	-4.65393	-4.43078	
0.0025	-4.71497	-4.43607	
0.003	-4.776	-4.44368	
0.0035	-4.85229	-4.45391	
0.004	-4.91333	-4.46703	
0.0045	-4.97437	-4.48318	
0.005	-5.0354	-4.50242	
0.0055	-5.12695	-4.52484	
0.006	-5.23376	-4.55069	
0.0065	-5.37109	-4.58041	
0.007	-5.52368	-4.61458	
0.0075	-5.67627	-4.65381	
0.008	-5.82886	-4.69862	
0.0085	-5.96619	-4.74932	
0.009	-6.08826	-4.806	
0.0095	-6.19507	-4.86849	
0.01	-6.28662	-4.9364	
0.0105	-6.34766	-5.00913	
0.011	-6.39343	-5.08584	
0.0115	-6.40869	-5.16552	
0.012	-6.42395	-5.24705	
0.0125	-6.40869	-5.32928	
0.013	-6.39343	-5.41105	
0.0135	-6.36292	-5.49124	
0.014	-6.31714	-5.5688	
0.0145	-6.27136	-5.64269	
0.015	-6.21033	-5.71203	
0.0155	-6.14929	-5.77599	
0.016	-6.08826	-5.83391	
0.0165	-5.9967	-5.88518	
0.017	-5.88989	-5.92917	
0.0175	-5.75256	-5.96514	
0.018	-5.56946	-5.99223	
0.0185	-5.37109	-6.00942	
0.019	-5.12695	-6.01558	
0.0195	-4.85229	-6.00953	
0.02	-4.56238	-5.99004	
0.0205	-4.24194	-5.95596	
0.021	-3.92151	-5.90626	
0.0215	-3.58582	-5.84011	
0.022	-3.26538	-5.75697	
0.0225	-2.94495	-5.6566	
0.023	-2.62451	-5.53903	
0.0235	-2.31934	-5.40455	
0.024	-2.02942	-5.25373	
0.0245	-1.7395	-5.08737	
0.025	-1.44958	-4.90637	
0.0255	-1.19019	-4.71178	
0.026	-0.930786	-4.50481	
0.0265	-0.717163	-4.28686	
0.027	-0.534058	-4.05961	
0.0275	-0.411987	-3.82505	
0.028	-0.350952	-3.5856	
0.0285	-0.335693	-3.344	
0.029	-0.38147	-3.10325	
0.0295	-0.488281	-2.86651	
0.03	-0.640869	-2.63712	
0.0305	-0.854492	-2.41843	
0.031	-1.12915	-2.21381	
0.0315	-1.43433	-2.02662	
0.032	-1.80054	-1.86001	
0.0325	-2.21252	-1.717	
0.033	-2.65503	-1.60044	
0.0335	-3.11279	-1.51276	
0.034	-3.60107	-1.45599	
0.0345	-4.05884	-1.43165	
0.035	-4.5166	-1.44054	
0.0355	-4.92859	-1.48279	
0.036	-5.2948	-1.55771	
0.0365	-5.63049	-1.66387	
0.037	-5.93567	-1.79932	
0.0375	-6.21033	-1.9617	
0.038	-6.48499	-2.14841	
0.0385	-6.74438	-2.35684	
0.039	-7.00378	-2.58441	
0.0395	-7.24792	-2.8286	
0.04	-7.49207	-3.08699	
0.0405	-7.70569	-3.3572	
0.041	-7.90405	-3.63685	
0.0415	-8.05664	-3.92348	
0.042	-8.17871	-4.21454	
0.0425	-8.255	-4.50734	
0.043	-8.27026	-4.79906	
0.0435	-8.255	-5.08674	
0.044	-8.17871	-5.36737	
0.0445	-8.0719	-5.63794	
0.045	-7.91931	-5.89554	
0.0455	-7.73621	-6.13738	
0.046	-7.53784	-6.3609	
0.0465	-7.2937	-6.56385	
0.047	-7.0343	-6.74418	
0.0475	-6.75964	-6.90013	
0.048	-6.45447	-7.03028	
0.0485	-6.13403	-7.13344	
0.049	-5.8136	-7.20874	
0.0495	-5.47791	-7.25567	
0.05	-5.15747	-7.27406	
0.0505	-4.82178	-7.2641	
0.051	-4.50134	-7.2263	
0.0515	-4.18091	-7.16144	
0.052	-3.89099	-7.07062	
0.0525	-3.63159	-6.95534	
0.053	-3.38745	-6.81749	
0.0535	-3.17383	-6.65917	
0.054	-2.99072	-6.48273	
0.0545	-2.83813	-6.29072	
0.055	-2.70081	-6.08582	
0.0555	-2.59399	-5.8707	
0.056	-2.48718	-5.64801	
0.0565	-2.39563	-5.4202	
0.057	-2.31934	-5.18958	
0.0575	-2.2583	-4.95832	
0.058	-2.21252	-4.72847	
0.0585	-2.18201	-4.50192	
0.059	-2.16675	-4.28044	
0.0595	-2.16675	-4.06565	
0.06	-2.19727	-3.85908	
0.0605	-2.24304	-3.66221	
0.061	-2.28882	-3.47635	
0.0615	-2.36511	-3.30265	
0.062	-2.44141	-3.1421	
0.0625	-2.54822	-2.99559	
0.063	-2.67029	-2.86392	
0.0635	-2.82288	-2.74788	
0.064	-2.99072	-2.64821	
0.0645	-3.17383	-2.56557	
0.065	-3.35693	-2.50047	
0.0655	-3.54004	-2.45317	
0.066	-3.72314	-2.4237	
0.0665	-3.90625	-2.41189	
0.067	-4.08936	-2.41736	
0.0675	-4.28772	-2.43967	
0.068	-4.47083	-2.47827	
0.0685	-4.63867	-2.53241	
0.069	-4.79126	-2.60111	
0.0695	-4.91333	-2.68315	
